Male,Ukraine,27,,,,,,
Male,United States,26,Engineer,,Master's degree,Electrical Engineering,1 to 2 years,A master's degree
Male,United States,24,Data Scientist,,Master's degree,Mathematics or statistics,3 to 5 years,A bachelor's degree
Male,Australia,34,Data Scientist,,Master's degree,Computer Science,3 to 5 years,
Female,Other,31,Data Scientist,,Master's degree,Computer Science,3 to 5 years,
Male,United States,25,Data Scientist,,Master's degree,Mathematics or statistics,3 to 5 years,A master's degree
Male,United States,22,Researcher,,Bachelor's degree,Computer Science,1 to 2 years,A master's degree
Female,United States,46,Software Developer/Software Engineer,,Bachelor's degree,Computer Science,6 to 10 years,A bachelor's degree
Male,United States,23,Data Analyst,,Professional degree,,Less than a year,
Male,France,38,Business Analyst,,Master's degree,I never declared a major,,High school
Male,Pakistan,33,Machine Learning Engineer,,Professional degree,,I don't write code to analyze data,
Male,Spain,24,Scientist/Researcher,,Master's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,United States,28,Business Analyst,,Bachelor's degree,,1 to 2 years,A bachelor's degree
Male,United States,30,Other,,Master's degree,Mathematics or statistics,6 to 10 years,
Male,New Zealand,48,Software Developer/Software Engineer,,Bachelor's degree,Electrical Engineering,More than 10 years,High school
A different identity,Other,35,,Other,I prefer not to answer,Management information systems,,I prefer not to answer
Female,United States,27,Researcher,,Master's degree,A social science,3 to 5 years,A doctoral degree
Male,Poland,25,Other,,Master's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Female,United States,40,Data Scientist,,Doctoral degree,Computer Science,1 to 2 years,A bachelor's degree
Male,Canada,44,Engineer,,Doctoral degree,Engineering (non-computer focused),More than 10 years,High school
Female,United States,28,Computer Scientist,,Bachelor's degree,Other,3 to 5 years,A doctoral degree
Female,United States,47,Statistician,,Master's degree,Mathematics or statistics,More than 10 years,"Some college/university study, no bachelor's degree"
Male,Australia,67,,SQL,Doctoral degree,Mathematics or statistics,More than 10 years,A professional degree
Male,France,35,Engineer,,Bachelor's degree,Computer Science,Less than a year,
Male,Israel,48,Data Analyst,,Master's degree,,,
Male,South Korea,40,Software Developer/Software Engineer,,Master's degree,Computer Science,More than 10 years,A master's degree
Male,Australia,35,,,,,,
Male,Australia,29,,,,,,
Male,Spain,31,Engineer,,Master's degree,Computer Science,6 to 10 years,A master's degree
Male,Other,58,Data Analyst,,Professional degree,,I don't write code to analyze data,High school
Male,United States,42,Operations Research Practitioner,,Bachelor's degree,A social science,More than 10 years,
Male,Japan,35,Engineer,,Doctoral degree,Other,More than 10 years,
Male,People 's Republic of China,35,Data Analyst,,Doctoral degree,Engineering (non-computer focused),6 to 10 years,A doctoral degree
Female,United States,,Software Developer/Software Engineer,Python,Master's degree,Other,1 to 2 years,A master's degree
Male,Japan,41,Business Analyst,,Master's degree,Management information systems,More than 10 years,High school
Male,United States,29,Data Analyst,,Bachelor's degree,A social science,3 to 5 years,A master's degree
Male,United States,44,Data Scientist,,Doctoral degree,Engineering (non-computer focused),More than 10 years,A master's degree
Male,United States,18,,,I did not complete any formal education past high school,,I don't write code to analyze data,High school
Female,United States,33,,,Master's degree,Other,,
Male,United States,33,Data Scientist,,Doctoral degree,Computer Science,3 to 5 years,A master's degree
Male,United States,28,Predictive Modeler,,Master's degree,Mathematics or statistics,1 to 2 years,High school
Male,United States,55,Computer Scientist,,Master's degree,Computer Science,1 to 2 years,A bachelor's degree
Female,United States,27,,,,,,
Male,United States,28,Scientist/Researcher,,Doctoral degree,Engineering (non-computer focused),6 to 10 years,"Some college/university study, no bachelor's degree"
Female,United States,30,,Python,Master's degree,Electrical Engineering,1 to 2 years,A master's degree
Female,Colombia,29,Researcher,,Doctoral degree,"Information technology, networking, or system administration",3 to 5 years,A bachelor's degree
Male,United States,50,Data Scientist,,Doctoral degree,Biology,More than 10 years,
Male,United States,35,Other,,Some college/university study without earning a bachelor's degree,Mathematics or statistics,Less than a year,
Male,Brazil,24,Scientist/Researcher,,Master's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,Republic of China,22,,,,,,
Male,United States,36,Scientist/Researcher,,Doctoral degree,Computer Science,More than 10 years,A professional degree
Male,United States,,Data Scientist,,Doctoral degree,,More than 10 years,
Male,South Korea,45,Scientist/Researcher,,Doctoral degree,,6 to 10 years,
Female,Philippines,21,Statistician,,Bachelor's degree,Mathematics or statistics,1 to 2 years,A bachelor's degree
Male,Singapore,26,Software Developer/Software Engineer,,Master's degree,Computer Science,3 to 5 years,
Female,Taiwan,52,Business Analyst,,Doctoral degree,Mathematics or statistics,More than 10 years,
Female,South Korea,35,Data Scientist,,Master's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,United States,24,,,Bachelor's degree,Engineering (non-computer focused),,
Male,United States,26,Data Scientist,Python,Master's degree,,3 to 5 years,A master's degree
Male,India,20,,,I prefer not to answer,,,
Male,Brazil,26,Data Scientist,,Master's degree,Computer Science,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,South Korea,27,Data Scientist,,Master's degree,Biology,6 to 10 years,High school
Male,United States,42,Data Scientist,Python,Master's degree,A social science,More than 10 years,High school
Female,United States,30,Scientist/Researcher,,Bachelor's degree,Other,3 to 5 years,A doctoral degree
Male,United States,43,Researcher,,Doctoral degree,Physics,More than 10 years,
Male,United States,27,Programmer,,Master's degree,Computer Science,Less than a year,
Male,Argentina,29,Business Analyst,,Professional degree,,3 to 5 years,A professional degree
Male,Other,36,Business Analyst,,Master's degree,Engineering (non-computer focused),1 to 2 years,A master's degree
Male,Vietnam,31,Machine Learning Engineer,,Master's degree,Computer Science,1 to 2 years,
Male,United States,20,Data Scientist,,Bachelor's degree,Computer Science,3 to 5 years,A doctoral degree
Male,India,30,Statistician,,Master's degree,Mathematics or statistics,3 to 5 years,
Male,Argentina,25,,,,,,
Male,United States,59,,,,,,
Male,People 's Republic of China,24,,,Master's degree,Electrical Engineering,3 to 5 years,
Male,United States,28,Data Scientist,,Doctoral degree,Electrical Engineering,3 to 5 years,A bachelor's degree
Male,Pakistan,25,Programmer,Matlab,Bachelor's degree,Computer Science,1 to 2 years,High school
Female,Taiwan,45,,,,,,
Male,People 's Republic of China,22,,Python,Bachelor's degree,Electrical Engineering,,A bachelor's degree
Male,United States,35,Other,,Master's degree,"Information technology, networking, or system administration",3 to 5 years,A bachelor's degree
Female,United States,36,Statistician,,Doctoral degree,Mathematics or statistics,More than 10 years,
Male,India,22,,,,,,
Male,Republic of China,23,,,,,,
Male,Republic of China,38,Researcher,Python,Master's degree,Electrical Engineering,1 to 2 years,High school
Male,United States,36,Computer Scientist,,Master's degree,Computer Science,3 to 5 years,
Male,India,28,Software Developer/Software Engineer,,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,I prefer not to answer
Male,India,43,Predictive Modeler,,Master's degree,Engineering (non-computer focused),More than 10 years,I prefer not to answer
Male,United States,35,Software Developer/Software Engineer,,Bachelor's degree,Computer Science,Less than a year,
Female,India,23,Other,,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,A master's degree
Male,Malaysia,23,,,,,,
Female,United States,27,Operations Research Practitioner,,Bachelor's degree,,I don't write code to analyze data,
Male,People 's Republic of China,26,Data Miner,,Master's degree,Biology,Less than a year,Primary/elementary school
Male,Brazil,39,Data Scientist,,Master's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,People 's Republic of China,25,Data Scientist,,Some college/university study without earning a bachelor's degree,,,
Male,People 's Republic of China,24,Data Scientist,,Bachelor's degree,Mathematics or statistics,1 to 2 years,A master's degree
Female,United States,30,Engineer,,Master's degree,Electrical Engineering,Less than a year,A master's degree
Male,People 's Republic of China,37,Software Developer/Software Engineer,,Master's degree,Electrical Engineering,3 to 5 years,"Some college/university study, no bachelor's degree"
Female,Australia,43,Software Developer/Software Engineer,,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Male,Canada,57,Operations Research Practitioner,,Master's degree,Other,More than 10 years,A bachelor's degree
Male,United States,58,Software Developer/Software Engineer,,Master's degree,Electrical Engineering,More than 10 years,
Male,India,22,,,Master's degree,Computer Science,1 to 2 years,
Male,Indonesia,22,DBA/Database Engineer,,,,,
Male,United States,23,,,,,,
Male,People 's Republic of China,18,Computer Scientist,,Master's degree,Mathematics or statistics,,
Female,Taiwan,31,,,,A social science,,
Male,United States,40,Engineer,,Master's degree,Electrical Engineering,3 to 5 years,A bachelor's degree
Male,India,19,,,,,,
,India,31,Data Analyst,,Master's degree,Computer Science,Less than a year,
Male,Pakistan,38,Software Developer/Software Engineer,,Master's degree,Computer Science,6 to 10 years,
Male,France,24,Machine Learning Engineer,,Master's degree,Computer Science,1 to 2 years,
Female,India,25,Predictive Modeler,,Master's degree,A social science,1 to 2 years,A bachelor's degree
Male,United States,48,Machine Learning Engineer,,Master's degree,Mathematics or statistics,3 to 5 years,
Male,United States,26,Software Developer/Software Engineer,,Master's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,India,27,Data Analyst,,Bachelor's degree,Computer Science,3 to 5 years,
Male,Other,31,Data Scientist,,Master's degree,Physics,1 to 2 years,
Male,India,24,Data Scientist,,Bachelor's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,India,24,Programmer,,Bachelor's degree,Computer Science,Less than a year,
Female,Colombia,24,,Python,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",I don't write code to analyze data,High school
Female,India,23,Business Analyst,,Bachelor's degree,Computer Science,I don't write code to analyze data,
Male,Mexico,24,,,,,,
Male,India,19,Other,,Bachelor's degree,,,
Male,India,30,Statistician,Python,Master's degree,Mathematics or statistics,3 to 5 years,High school
Male,Egypt,57,Programmer,,Bachelor's degree,,,
Male,Australia,27,,,,,,
Male,India,33,Engineer,,Master's degree,Electrical Engineering,1 to 2 years,A bachelor's degree
Female,United States,25,Software Developer/Software Engineer,,Bachelor's degree,Electrical Engineering,6 to 10 years,A doctoral degree
Male,Romania,42,,SAS,,,I don't write code to analyze data,
Male,India,24,Machine Learning Engineer,,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Female,Iran,30,Programmer,,Master's degree,Computer Science,1 to 2 years,A doctoral degree
Male,India,63,Other,,Doctoral degree,Other,6 to 10 years,I prefer not to answer
Male,India,40,,,,,,
Male,Turkey,30,Engineer,,Master's degree,Engineering (non-computer focused),3 to 5 years,A bachelor's degree
Female,Japan,23,Engineer,,Some college/university study without earning a bachelor's degree,Electrical Engineering,I don't write code to analyze data,
Male,Mexico,21,,Python,Some college/university study without earning a bachelor's degree,Mathematics or statistics,,High school
Female,India,23,Data Scientist,,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,A bachelor's degree
Male,India,48,Predictive Modeler,,Master's degree,Mathematics or statistics,I don't write code to analyze data,
Male,India,23,Programmer,,Bachelor's degree,Computer Science,Less than a year,
Male,India,33,,,,,,
Male,Mexico,27,Software Developer/Software Engineer,,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,A bachelor's degree
Female,People 's Republic of China,32,Engineer,Python,Master's degree,Electrical Engineering,6 to 10 years,High school
Male,United States,31,Machine Learning Engineer,,Master's degree,,,
Female,India,34,Scientist/Researcher,,Doctoral degree,A humanities discipline,6 to 10 years,A master's degree
Female,Australia,20,,,,,,
Female,India,,Software Developer/Software Engineer,,Bachelor's degree,Computer Science,Less than a year,
Male,Other,29,Researcher,,Doctoral degree,Biology,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,India,21,Software Developer/Software Engineer,,Bachelor's degree,Computer Science,Less than a year,A master's degree
Female,Republic of China,41,,,,,,
Male,Singapore,26,Scientist/Researcher,,Master's degree,Mathematics or statistics,3 to 5 years,
Female,Singapore,24,Data Analyst,R,Master's degree,I never declared a major,1 to 2 years,A doctoral degree
Male,Iran,40,Data Analyst,,Master's degree,Physics,6 to 10 years,
Male,India,19,,Python,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Female,Russia,25,Data Scientist,,Master's degree,Mathematics or statistics,1 to 2 years,A doctoral degree
Male,Other,23,,,,,,
Male,Japan,24,,C/C++/C#,Bachelor's degree,Electrical Engineering,,"Some college/university study, no bachelor's degree"
Male,Spain,38,Data Miner,,Bachelor's degree,Computer Science,More than 10 years,High school
Female,Ireland,40,Predictive Modeler,,Doctoral degree,Physics,More than 10 years,High school
Male,India,28,Software Developer/Software Engineer,,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,High school
Male,India,27,,,,,,
Male,India,39,Data Analyst,SQL,Master's degree,Engineering (non-computer focused),More than 10 years,A bachelor's degree
Female,India,26,Data Scientist,,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,A master's degree
Male,Pakistan,22,,C/C++/C#,Some college/university study without earning a bachelor's degree,Computer Science,I don't write code to analyze data,A master's degree
Male,Other,30,Data Miner,,Doctoral degree,A humanities discipline,3 to 5 years,
Male,Vietnam,40,,,,,,
Male,Pakistan,26,DBA/Database Engineer,,Master's degree,Computer Science,,
Male,Hong Kong,26,Computer Scientist,,Bachelor's degree,Computer Science,3 to 5 years,A doctoral degree
Female,Spain,44,Software Developer/Software Engineer,,Bachelor's degree,"Information technology, networking, or system administration",6 to 10 years,High school
Male,India,24,Software Developer/Software Engineer,,Bachelor's degree,Computer Science,3 to 5 years,High school
Male,India,32,Software Developer/Software Engineer,,Master's degree,Mathematics or statistics,6 to 10 years,A master's degree
Male,Other,26,Engineer,,Master's degree,Mathematics or statistics,1 to 2 years,High school
Male,Italy,37,Engineer,,Some college/university study without earning a bachelor's degree,,,
Male,Turkey,34,Other,,Professional degree,,6 to 10 years,High school
A different identity,,,Data Analyst,,I did not complete any formal education past high school,,1 to 2 years,
Female,Romania,29,Researcher,,Master's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,India,32,Other,,Bachelor's degree,Computer Science,3 to 5 years,I prefer not to answer
Male,Canada,35,,R,Bachelor's degree,Other,,I prefer not to answer
Male,Other,29,Business Analyst,Python,Master's degree,Management information systems,1 to 2 years,
Male,Indonesia,22,,,,,,
Male,Nigeria,24,Data Scientist,,Bachelor's degree,Computer Science,Less than a year,"Some college/university study, no bachelor's degree"
Female,Switzerland,26,,Python,Bachelor's degree,Other,,High school
A different identity,Poland,26,Software Developer/Software Engineer,,,,,
Male,Italy,37,Software Developer/Software Engineer,R,Master's degree,Physics,3 to 5 years,A professional degree
A different identity,India,35,Business Analyst,Matlab,Master's degree,Electrical Engineering,I don't write code to analyze data,A bachelor's degree
Female,United Kingdom,32,Scientist/Researcher,,Doctoral degree,Electrical Engineering,More than 10 years,A master's degree
Male,Singapore,23,,,,,,
Male,France,38,Software Developer/Software Engineer,,Master's degree,Mathematics or statistics,6 to 10 years,A master's degree
Male,Poland,22,Data Scientist,,Bachelor's degree,Computer Science,Less than a year,A master's degree
Female,Ireland,26,,,,,,
Female,Pakistan,28,,,,,,
Male,Turkey,29,,,,,,
Male,France,34,Software Developer/Software Engineer,,Master's degree,Computer Science,1 to 2 years,A master's degree
Male,United Kingdom,32,Data Scientist,,Master's degree,Mathematics or statistics,6 to 10 years,
Male,People 's Republic of China,27,Business Analyst,,Master's degree,A health science,3 to 5 years,Primary/elementary school
Male,Japan,35,Researcher,,Doctoral degree,Computer Science,3 to 5 years,A bachelor's degree
Male,Other,24,Software Developer/Software Engineer,,Bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,
Male,United Kingdom,52,,,,,,
Male,France,24,,Python,Master's degree,"Information technology, networking, or system administration",Less than a year,A bachelor's degree
Male,Other,30,Other,,Master's degree,Computer Science,6 to 10 years,High school
Male,People 's Republic of China,24,Software Developer/Software Engineer,,Bachelor's degree,Computer Science,Less than a year,
Male,United Kingdom,35,Data Scientist,,Doctoral degree,Computer Science,More than 10 years,A bachelor's degree
Male,Japan,25,,,,,,
Male,Other,44,Software Developer/Software Engineer,,Professional degree,,3 to 5 years,A professional degree
Female,India,20,,,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",,
Male,France,52,DBA/Database Engineer,,Master's degree,Computer Science,3 to 5 years,
Male,Germany,36,Machine Learning Engineer,Python,Bachelor's degree,Computer Science,3 to 5 years,A master's degree
Male,People 's Republic of China,39,Data Scientist,,Some college/university study without earning a bachelor's degree,Electrical Engineering,3 to 5 years,High school
Male,People 's Republic of China,27,Programmer,,Bachelor's degree,Management information systems,1 to 2 years,
Male,People 's Republic of China,22,,,Bachelor's degree,Computer Science,,
Male,Pakistan,27,Other,,Bachelor's degree,Mathematics or statistics,3 to 5 years,A doctoral degree
Male,South Korea,21,,,Some college/university study without earning a bachelor's degree,Electrical Engineering,1 to 2 years,
Male,United States,65,Scientist/Researcher,,Doctoral degree,Physics,More than 10 years,A bachelor's degree
Male,Ukraine,26,Software Developer/Software Engineer,,Master's degree,,,
Male,United Kingdom,42,Data Scientist,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,India,36,Data Analyst,,Master's degree,Engineering (non-computer focused),More than 10 years,High school
Male,People 's Republic of China,24,,Python,Master's degree,Computer Science,1 to 2 years,High school
Male,Turkey,28,Researcher,,Master's degree,Computer Science,3 to 5 years,"Some college/university study, no bachelor's degree"
Female,Ukraine,19,,,Some college/university study without earning a bachelor's degree,Computer Science,,
Male,Switzerland,38,Researcher,Python,Doctoral degree,Physics,6 to 10 years,A master's degree
Male,Australia,42,,,,,,
Male,Portugal,37,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,3 to 5 years,Primary/elementary school
Female,Romania,21,Computer Scientist,,Bachelor's degree,,,
Male,Japan,35,Software Developer/Software Engineer,,Bachelor's degree,I never declared a major,Less than a year,
Male,India,33,Machine Learning Engineer,,Doctoral degree,Engineering (non-computer focused),Less than a year,
Male,United Kingdom,40,Data Scientist,,Professional degree,,More than 10 years,A professional degree
A different identity,Brazil,30,,,,,,
Male,United Kingdom,,,,,,,
Male,Norway,44,Other,Matlab,Master's degree,Computer Science,Less than a year,I prefer not to answer
Male,India,30,Engineer,,Bachelor's degree,,,
Male,Belgium,29,,,,,,
Male,Russia,,Programmer,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,Primary/elementary school
Female,Other,31,Researcher,,Master's degree,Other,6 to 10 years,A master's degree
Male,India,21,,,,,,
Female,Vietnam,20,,,,,,
Male,India,25,Programmer,,Master's degree,,Less than a year,High school
Female,South Korea,44,Researcher,,Doctoral degree,Other,1 to 2 years,
Male,People 's Republic of China,,,,,,,
Male,Netherlands,48,Other,R,Doctoral degree,Biology,More than 10 years,A master's degree
Male,India,25,Data Scientist,,Master's degree,Computer Science,Less than a year,A doctoral degree
Male,People 's Republic of China,23,,,Professional degree,,,
Male,India,28,,,Doctoral degree,Other,I don't write code to analyze data,Primary/elementary school
Male,Other,31,Other,,Master's degree,A social science,Less than a year,A doctoral degree
Male,Nigeria,33,Statistician,,Master's degree,Mathematics or statistics,3 to 5 years,High school
Male,Spain,48,,,,,,
Male,India,21,Software Developer/Software Engineer,,Bachelor's degree,Computer Science,3 to 5 years,High school
Male,India,24,Predictive Modeler,,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Male,France,26,Engineer,,Master's degree,Computer Science,3 to 5 years,High school
Male,Indonesia,23,,,,,,
Male,People 's Republic of China,,Data Scientist,,Doctoral degree,Engineering (non-computer focused),More than 10 years,
Male,Australia,20,,,,,,
Male,Canada,47,DBA/Database Engineer,Python,Bachelor's degree,Computer Science,1 to 2 years,High school
Male,Brazil,35,Programmer,Python,Master's degree,"Information technology, networking, or system administration",I don't write code to analyze data,High school
Male,Philippines,31,Software Developer/Software Engineer,,Bachelor's degree,Computer Science,Less than a year,
Male,Taiwan,56,Researcher,,Some college/university study without earning a bachelor's degree,A health science,I don't write code to analyze data,
Male,India,25,Software Developer/Software Engineer,Python,Master's degree,Electrical Engineering,1 to 2 years,A master's degree
Female,Italy,36,Scientist/Researcher,,Doctoral degree,Mathematics or statistics,6 to 10 years,A master's degree
Male,Other,42,Computer Scientist,,Master's degree,,1 to 2 years,"Some college/university study, no bachelor's degree"
Female,India,21,,,,,,
Male,France,68,,Python,Doctoral degree,Engineering (non-computer focused),6 to 10 years,Primary/elementary school
Male,Canada,21,Machine Learning Engineer,,Bachelor's degree,Computer Science,Less than a year,A doctoral degree
,,,,,,,,
Female,Canada,23,,,,,,
Male,India,32,,,,,,
Male,India,27,Software Developer/Software Engineer,,Master's degree,Computer Science,1 to 2 years,
Male,Brazil,31,Scientist/Researcher,R,Master's degree,A health science,3 to 5 years,Primary/elementary school
Male,United States,63,,,,,,
Male,Kenya,25,Operations Research Practitioner,,Bachelor's degree,Management information systems,Less than a year,
Female,India,23,,,Master's degree,,,
Male,Other,27,Business Analyst,,Professional degree,,1 to 2 years,Primary/elementary school
Male,Argentina,40,Machine Learning Engineer,,Bachelor's degree,Computer Science,More than 10 years,High school
Male,Chile,39,Software Developer/Software Engineer,,Master's degree,Computer Science,6 to 10 years,
Male,Argentina,38,DBA/Database Engineer,,Bachelor's degree,Computer Science,3 to 5 years,
Male,United States,37,Software Developer/Software Engineer,,Master's degree,Mathematics or statistics,3 to 5 years,
Female,United Kingdom,40,Programmer,,Master's degree,Mathematics or statistics,Less than a year,A professional degree
Male,Russia,36,Data Analyst,,Master's degree,Biology,3 to 5 years,A master's degree
Male,Sweden,35,Scientist/Researcher,,Doctoral degree,,,
Male,Portugal,25,,Julia,Master's degree,I never declared a major,,A master's degree
Male,India,24,,,Bachelor's degree,Engineering (non-computer focused),I don't write code to analyze data,A master's degree
Male,Brazil,35,Data Scientist,,Bachelor's degree,I never declared a major,Less than a year,High school
Male,Germany,22,Scientist/Researcher,,Bachelor's degree,Mathematics or statistics,1 to 2 years,
Male,United States,45,Engineer,,Master's degree,Mathematics or statistics,More than 10 years,Primary/elementary school
Male,India,22,,SQL,Bachelor's degree,Computer Science,I don't write code to analyze data,
Male,Philippines,20,,,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),Less than a year,
Female,Netherlands,36,,R,Doctoral degree,A health science,,I don't know/not sure
,People 's Republic of China,26,Data Analyst,,Doctoral degree,Computer Science,1 to 2 years,
Female,,28,Scientist/Researcher,,Master's degree,Computer Science,6 to 10 years,
Male,Malaysia,34,Software Developer/Software Engineer,,Bachelor's degree,Computer Science,1 to 2 years,High school
Male,United States,25,Computer Scientist,,Master's degree,Computer Science,1 to 2 years,A master's degree
Male,United States,56,Software Developer/Software Engineer,,Doctoral degree,A health science,More than 10 years,A master's degree
Male,India,34,Data Analyst,,Bachelor's degree,Engineering (non-computer focused),6 to 10 years,A doctoral degree
Female,Other,21,,Python,Bachelor's degree,Mathematics or statistics,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,United States,21,,,,,,
Male,India,28,Data Analyst,,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Female,Italy,37,Machine Learning Engineer,,Doctoral degree,Computer Science,6 to 10 years,
,,,Programmer,,Master's degree,Computer Science,6 to 10 years,
Female,India,25,,,,,,
Male,United States,40,,,,,,
Female,Colombia,40,Computer Scientist,,Doctoral degree,Computer Science,6 to 10 years,A bachelor's degree
Male,South Africa,33,Programmer,,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,
Male,Brazil,42,Data Scientist,R,Bachelor's degree,Mathematics or statistics,More than 10 years,A bachelor's degree
Male,People 's Republic of China,24,,,Master's degree,Computer Science,Less than a year,
Male,Vietnam,21,,Matlab,Some college/university study without earning a bachelor's degree,Computer Science,,
Male,Brazil,33,,,,,,
Male,Brazil,26,Programmer,,Master's degree,Computer Science,1 to 2 years,
Female,Other,23,,Matlab,Bachelor's degree,Engineering (non-computer focused),Less than a year,A bachelor's degree
Male,Germany,25,,,,,,
Male,India,21,,Java,Bachelor's degree,Computer Science,,A master's degree
Female,Taiwan,29,Data Analyst,,Master's degree,,,A bachelor's degree
A different identity,India,58,Researcher,,Doctoral degree,,,
Male,Colombia,26,Software Developer/Software Engineer,,Master's degree,Computer Science,1 to 2 years,A master's degree
Male,India,36,Business Analyst,,Master's degree,Biology,3 to 5 years,
Male,United States,29,Other,,Some college/university study without earning a bachelor's degree,Computer Science,I don't write code to analyze data,
Male,Italy,23,,Other,Some college/university study without earning a bachelor's degree,Mathematics or statistics,1 to 2 years,High school
Male,United States,33,Scientist/Researcher,,Doctoral degree,,,
Male,Sweden,50,,,,,,
Male,United States,38,Engineer,,Doctoral degree,Electrical Engineering,6 to 10 years,
Male,Argentina,27,Scientist/Researcher,,Some college/university study without earning a bachelor's degree,Mathematics or statistics,Less than a year,
Male,United States,41,,,Bachelor's degree,,,
Male,Romania,35,Data Scientist,,,,,
Male,United States,56,Scientist/Researcher,,Doctoral degree,Biology,More than 10 years,
Male,India,19,Engineer,,I did not complete any formal education past high school,,Less than a year,
Male,Italy,50,Machine Learning Engineer,Python,Master's degree,"Information technology, networking, or system administration",3 to 5 years,High school
Male,Other,29,Researcher,,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,United States,31,Other,Python,Bachelor's degree,Computer Science,3 to 5 years,A master's degree
Male,United States,30,Data Scientist,,Master's degree,Electrical Engineering,3 to 5 years,A master's degree
Male,United States,,Programmer,,Doctoral degree,Physics,1 to 2 years,Primary/elementary school
Male,Singapore,26,Data Scientist,,Master's degree,"Information technology, networking, or system administration",3 to 5 years,A master's degree
Male,Brazil,42,,,Master's degree,Mathematics or statistics,3 to 5 years,
Male,Iran,27,Data Scientist,,Doctoral degree,Mathematics or statistics,6 to 10 years,A master's degree
Male,Japan,37,Engineer,,I did not complete any formal education past high school,,1 to 2 years,No education
Female,United States,52,Software Developer/Software Engineer,,Bachelor's degree,,1 to 2 years,High school
Male,United States,20,,Python,Some college/university study without earning a bachelor's degree,Computer Science,,A master's degree
Female,United States,,Software Developer/Software Engineer,,Master's degree,Electrical Engineering,More than 10 years,A doctoral degree
Male,France,35,,R,Master's degree,Mathematics or statistics,Less than a year,A master's degree
Female,Canada,23,Software Developer/Software Engineer,,Bachelor's degree,Mathematics or statistics,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,United States,35,,,,,,
Female,United States,24,Software Developer/Software Engineer,,Bachelor's degree,A social science,3 to 5 years,
Male,Vietnam,21,,,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,
Male,United States,58,Software Developer/Software Engineer,Python,Master's degree,Engineering (non-computer focused),More than 10 years,A bachelor's degree
Male,United States,39,,,,,,
Female,United States,50,Researcher,SQL,Master's degree,A social science,More than 10 years,A doctoral degree
"Non-binary, genderqueer, or gender non-conforming",India,21,,Python,Bachelor's degree,Mathematics or statistics,Less than a year,A bachelor's degree
Male,Brazil,30,Engineer,,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,A bachelor's degree
Male,United States,27,,,,,,
Male,Other,35,,Python,Bachelor's degree,A social science,3 to 5 years,Primary/elementary school
Male,United States,26,Data Scientist,,Bachelor's degree,,,
Female,Iran,29,Other,,Master's degree,Mathematics or statistics,I don't write code to analyze data,A bachelor's degree
Male,Brazil,23,Scientist/Researcher,,Bachelor's degree,Electrical Engineering,1 to 2 years,A doctoral degree
Male,United States,22,,,,,,
Male,Kenya,25,Data Scientist,Python,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Female,United States,27,Data Analyst,,Master's degree,Mathematics or statistics,3 to 5 years,High school
Male,United States,40,Data Analyst,,Bachelor's degree,Management information systems,I don't write code to analyze data,
Male,United States,35,Scientist/Researcher,,Doctoral degree,Electrical Engineering,3 to 5 years,No education
Male,United States,40,Engineer,,Master's degree,Engineering (non-computer focused),Less than a year,
Male,Russia,49,Programmer,,Master's degree,,,
Male,Germany,30,,,,,,
Male,Czech Republic,64,Researcher,,Doctoral degree,Mathematics or statistics,1 to 2 years,A doctoral degree
Male,United States,41,Researcher,,Doctoral degree,A health science,More than 10 years,A master's degree
Male,United States,41,,,,,,
